AVERAGE_GENE_EXPRESSION	r1_C0	r1_C1	r1_C2	r1_C3	r1_C4	r1_C5	r1_C6	r1_C7	r1_C8	r1_C9	r1_C10	r1_C11
Rp1	0	0	0	0	0.979216591975356	0	0	0	0	0	0	0
Sox17	0.0336918005580205	689.050223258502	0.0256459974396872	0.027714223039662	0	0.0624829755803289	0	9.22274166959892	12372.2548503485	0.0592510975330705	0	21.9936781038125
Mrpl15	0.808274132794208	0.400370193437912	0.64512110291371	2.17563761835813	1.56010995584909	1.00456521262603	3.00477742399413	1.15652518608415	18.0510446123663	0	0.755816904296057	0.786049580467899
Lypla1	0.622969229725096	0.594406348977414	0.42875701296863	0.780289667428963	1.54390934787995	0.723391822514554	1.25585444066624	0.880438418808455	1.86053958580216	0	0.998410162962456	0.599218609649035
Tcea1	4.02494987836262	0.853514420360713	4.96423232322189	10.4645223075518	1.14496178195562	5.65298570391	13.6561737086982	3.14777831520682	242.694305262906	0.65812196286854	1.24728275805995	45.0731319809786
Atp6v1h	0.2647886082396	0.256216025907838	0.414307125956525	0.792388689987802	0.143190152371587	0.700951629540854	0.946563711543608	0.375857732615183	1.4101319231694	0	0.311820689514988	0.343656365691809
Rb1cc1	1.85383181597275	1.02557437718756	3.93492224708638	2.35270534409681	3.19784139352248	1.04944559857344	2.33225538291913	1.07274821298289	13.1889283878442	0	0.623641379029977	0.717318307329537
Pcmtd1	1.99515301845036	1.02775614910681	2.68557811191665	59.4136836648693	4.00545455866883	0.902039454439077	7.52439056159421	5.58545525285994	83.9392207032496	0	2.83590233691336	8.92673720575551
Sntg1	0.220804907648096	0	0.267656084824454	0	0	0	0	0	0	0	0	0
Rrs1	0.796174028739762	0.38895960861818	18.8331438402866	0.792388689987802	0.200466213320222	0.397338046455674	1.62788375483188	0.140267904364004	1.17148166921676	0	0.443996214781069	0.274925092553447
Adhfe1	0.067383601116041	0	0.351819020649569	0	0.200466213320222	0	0.0343656365691809	0	0	0	0	0.0687312731383618
2610203C22Rik	0	0.0560309291888819	0	0	0	0.66971014175069	0.0687312731383618	0.175334880455005	0.0954601015810581	0	0	0
Mybl1	0	0	0.0256459974396872	0.0831426691189861	0	0	0.0687312731383618	0	0.0954601015810581	0	0	0
Vcpip1	0.390064218022554	0.112061858377764	0.39588607202289	0.744767844148889	0.11455212189727	1.09284177772803	0.437071851101241	0.235589828251179	0.545867764213819	0	0.13217552526608	0.0687312731383618
Sgk3	0.344272313410087	0.261477669548116	0.24923503089082	0.717053621109227	0.257742274268857	5.43349217839263	1.07271220605013	0.445991684797185	1.21921172000729	0.0592510975330705	1.53420598749363	0.0687312731383618
6030422M02Rik	0.0168459002790102	0	0	0.027714223039662	0.0286380304743174	0.0624829755803289	0	0	0	0	0	0
Snhg6	1.04555768317854	0.130738834774058	1.40433833680375	0.566383483352079	0.556624902322831	0.69215033472439	1.74959430774839	0.210401856546006	5.50720943639665	0	0.198263287899121	2.86124430865531
Cops5	0.303226205022184	0.21886207311525	0.410335959034996	0.526570237753578	0.935067192160229	0.700951629540854	1.02660903645217	0.340790756524182	2.1520431352714	0	0.13217552526608	0.923512126744623
Cspp1	0.498493927526498	0.250954382267561	0.230813976957185	0.792388689987802	0.0286380304743174	0.0937244633704934	0.265243668255337	0.340790756524182	0.866531697111257	0	0.330438813165201	0.343656365691809
Arfgef1	0.63326112975858	0.463667514203356	0.626700048980076	1.18204596474523	56.2020553657843	0.598425871353897	1.20049332802875	0.671702508662537	3.77062436592739	0	0.90661055321235	0.137462546276724
Prex2	1.34584629599713	7.03701812196094	1.48794216413091	3.65876117786874	0.0286380304743174	0.0937244633704934	1.24379118350879	3.5084065508769	561.432426218226	0	0	119.335782027946
Sulf1	11796.4822060854	0.0560309291888819	3.28882584317011	57.3046410129944	0.0286380304743174	0	7.65497699769075	0.165455876069177	0.0954601015810581	0.0592510975330705	0	0.324293517095588
Slco5a1	0	0	0	0	0.221036390212781	0	0	0	0.53015380342188	0	0	0
Ncoa2	0.315326309076631	0.200185096718956	0.586604164528283	0.193999561277634	0.405366896369485	0.374897853481973	0.368340577962879	0.330911752138355	0.879978119747522	0	0.13217552526608	0
Tram1	15.4911327427137	1.22290975504342	130.851508010174	47.7110266655924	0.621968816853224	9.7431974939499	66.2840704770388	1.3182170456199	63.6884127962261	0	4.37324799262254	2.88060715725153
Lactb2	0.310580512852067	0.018676976396294	0.102583989758749	0.193999561277634	0.270244597579657	0.124965951160658	0.40270621453206	0.140267904364004	0.238650253952645	0	0.13217552526608	0.274925092553447
Gm5523	0.067383601116041	0	0.172297038571758	0.055428446079324	0.0859140914229523	0.124965951160658	0.171828182845905	0.105200928273003	0.047730050790529	0	0	0.0687312731383618
Eya1	0	0.0373539527925879	0	0.43561996839418	0.0572760609486348	0	0	0.0350669760910009	0.047730050790529	0	0	0
Msc	0.711944527344711	0.018676976396294	43.6885287260419	0	0	0.0312414877901645	0.333974941393698	0	0.0954601015810581	0	0	0.137462546276724
Terf1	0.305034409043147	0.525847384571693	0.509666172209221	0.950866427985362	0.11455212189727	0.124965951160658	0.530487336510673	0.77690343693554	1.89482321395643	0	0.264351050532161	0.0687312731383618
Gm106	0	0	0	0	0	0	0	0	0	0	0	0.206193819415085
Rpl7	19357506227.6352	762954.155435254	23686174201952.7	81151942542184.7	32156.6681563832	78740591933.0987	22480808007.0475	592835307593.943	2.28417019852233e+35	280.119084445363	24612813260464496	1059646482.66587
Rdh10	0.163713206565538	0.0373539527925879	0.0256459974396872	0.0831426691189861	0.0286380304743174	0.156207438950822	0.137462546276724	0.200522852160178	0.143190152371587	0	0.0660877626330402	0
Stau2	0.0505377008370307	0	0.153875984638123	0.055428446079324	0.278312451161415	0.156207438950822	0.171828182845905	0	0	0	0	0.137462546276724
Ube2w	1.08516284508825	0.224123716755528	1.1095018450391	1.06953092038442	0.46264295731812	0.406139341272138	2.29952237382204	0.790546457854799	3.20618693435125	0	2.12755507160013	1.04161182442513
Tceb1	5.75165021264396	0.965576278738477	1.63637069247144	13.310444222805	2.49346372406709	15.0254567464338	10.0001989360153	2.98232243913765	101.215071852008	0	1.75422706725851	3.17093864287335
Tmem70	0.349018109634651	0.205446740359234	0.670767100353397	0.641718552230653	0.91278359132544	0.428579534245838	0.898827914473553	0.601568556480535	1.55332207554099	0.0592510975330705	0.443996214781069	1.24780564384021
Ly96	0.327426413131077	0.168092787566646	0.39588607202289	0.641718552230653	0.0859140914229523	5.3088226299148	0.299609304824518	0.235589828251179	2.80350932250902	0	0.311820689514988	0.255562243957226
Jph1	0.0168459002790102	0	0.0256459974396872	0.027714223039662	0.221036390212781	0	0.299609304824518	0	0	0	0	0
Pi15	2.67608963627292	0	2.28577899309668	0.027714223039662	0	0	5.39370082289418	0	0.047730050790529	0	0	2.35011982074085
Crispld1	0.0336918005580205	0.256216025907838	0.0256459974396872	0.055428446079324	0	0	0.0687312731383618	0.50624663259336	1.61962179369384	0	0	44.5887478140658
Mcm3	0.0505377008370307	0.306985311456442	0.0512919948793745	0.443427568634592	0.0286380304743174	0.124965951160658	0.240559455984266	0.305723780433181	12.7370229172875	0	0	0.0687312731383618
6720483E21Rik	0	0	0.0256459974396872	0.055428446079324	0	0	0	0	0	0	0	0
Paqr8	0.0505377008370307	0	0.0512919948793745	0.166285338237972	0	0	0	0.140267904364004	0	0	0	0
Efhc1	0.0336918005580205	0.018676976396294	0.102583989758749	0.103049291918236	0	0	0.137462546276724	0	0.0954601015810581	0	0	0
Tram2	0.101075401674061	0.018676976396294	0.128229987198436	0.027714223039662	0.0286380304743174	0	0.0687312731383618	0	0.047730050790529	0	0.0660877626330402	0
Tmem14a	0.526639624275598	0.0747079055851759	0.351819020649569	0.352477299275194	0	0.147406144134358	0.830096641335191	0.0701339521820018	0.0954601015810581	0	0	0.0687312731383618
Gsta3	643743.932907498	0	92.4963178342121	0.027714223039662	0	0	65383.3022991712	0	0.047730050790529	0	0.0660877626330402	0
Gm4956	0.0842295013950512	0	0.431509801179648	0	0	0	0	0	0	0	0.311820689514988	0
Ogfrl1	0.361118213689097	0.112061858377764	0.318948079703829	1.91708537570263	0.306950481635733	13.9826290708381	0.427390426803131	0.200522852160178	1.1051819510639	0	0.800146875063335	0.137462546276724
Smap1	2.45746019018855	0.645175634526018	2.50727450854935	6.16126952396596	0.143190152371587	4.12553869464679	27.411093528643	1.17628319485581	8.23999213245084	0.279563376806541	1.48987601672635	1.75893013175466
1110058L19Rik	0.740890531678167	0.168092787566646	1.97074396018993	3.35582555738354	2.08002897411584	1.21780772888869	1.16407158272889	0.671702508662537	0.702504339221671	0	0.510083977414109	0.923512126744623
Fam135a	0.134767202232082	0.018676976396294	0.205167979517498	0.503147437032343	0.171828182845905	0.0312414877901645	0.171828182845905	0.165455876069177	0.0954601015810581	0	0	0.343656365691809
Lmbrd1	0.938295538801726	0.751975849263505	1.3967973625077	6.53690694321347	0.634471140164024	3.7325315432285	1.22312143156914	0.975760342695631	3.45553607237915	0	0.708347265313229	0.599218609649035
Phf3	1.28043056759257	0.427200858949945	1.84550983891047	4.35888296343901	0.760165062478689	1.45013704157708	2.35413428107228	1.28148412312881	5.23587712276906	0	0.689729141663017	0.717318307329537
Ptp4a1	0.185304903069113	0.018676976396294	0.0769379923190617	0.13857111519831	0.143190152371587	0.0312414877901645	3.69994712595025	0.235589828251179	0.143190152371587	0	0	0.274925092553447
Prim2	0.0336918005580205	0.0373539527925879	0.0256459974396872	0	0	0.116164656344194	0.171828182845905	0.105200928273003	0.0954601015810581	0	0.0660877626330402	0.137462546276724
Rab23	0.690352830841137	0.018676976396294	0.28210597183656	0.427812368153769	0.0859140914229523	0.0312414877901645	1.90813021106017	0.0350669760910009	0.49813771342329	0	0	0.0687312731383618
Bag2	0.168459002790102	0	0.153875984638123	0.193999561277634	0.470710810899878	0.0312414877901645	0.784416952995814	0	0.0954601015810581	0	0.0660877626330402	0.206193819415085
Zfp451	0.214250907402569	0.106800214737486	0.256459974396872	0.13857111519831	0.0286380304743174	0.0937244633704934	0.589537185350924	0.105200928273003	0.238650253952645	0	0.0660877626330402	0.763421476927507
Gm15455	0.0168459002790102	0	0.0512919948793745	0.027714223039662	0	0	0.0343656365691809	0	0	0	0	0
Bend6	0.0842295013950512	0	0.0256459974396872	0	0	0.0624829755803289	0.265243668255337	0	0	0	0	0
Dst	34.9682535410812	2.330938550091	6.8082807057139	80.6097437252692	7711.26810456819	0.838072272065943	13.4510583109883	12.2700012425138	4958741.10451145	0	0.0660877626330402	31.2940772512057
Ccdc115	0.728790427623721	0.168092787566646	0.351819020649569	1.96173143428125	0.364226542584368	1.11044436736096	0.898827914473553	0.175334880455005	2.05885057184601	0	0.821904666929097	0.274925092553447
Imp4	0.361118213689097	0.501021466995944	0.542537113154961	0.601905306632153	0.192398359738463	1.73466382823652	0.889146490175442	0.401045704320357	0.961991798692315	0.0592510975330705	0.998410162962456	0.0687312731383618
Ptpn18	0.0168459002790102	0.293569978700426	0.0953590462526963	1.86946452986372	0.0286380304743174	33455.3279715251	0.0343656365691809	0.601568556480535	2.76421061763807	0.0592510975330705	296.470941780623	0.0687312731383618
Arhgef4	0.067383601116041	0	0	0	0	0	0.0687312731383618	0	0	0	0.0660877626330402	0
Fam168b	0.717490631153631	0.237539049511544	0.758901203100041	1.77131085815685	0.470710810899878	3.18370164598315	0.957877763313804	0.860680410036801	8.30514311955647	0.0592510975330705	0.13217552526608	6.28955115433701
Plekhb2	0.435055815050665	0.276897750240417	0.128229987198436	0.213906184076884	1.03177018295175	2.1801648563087	0.461756063372311	0.0701339521820018	0.559314186850084	0	0.330438813165201	0.274925092553447
